FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT017F001,PCT017F002,PCT017F003,PCT017F004,PCT017F005,PCT017F006,PCT017F007,PCT017F008,PCT017F009,PCT017F010,PCT017F011,PCT017F012,PCT017F013,PCT017F014,PCT017F015,PCT017F016,PCT017F017,PCT017F018,PCT017F019,PCT017F020,PCT017F021,PCT017F022,PCT017F023,PCT017F024,PCT017F025,PCT017F026,PCT017F027,PCT017F028,PCT017F029,PCT017F030,PCT017F031,PCT017F032,PCT017F033,PCT017F034,PCT017F035,PCT017F036,PCT017F037,PCT017F038,PCT017F039,PCT017F040,PCT017F041,PCT017F042,PCT017F043,PCT017F044,PCT017F045,PCT017F046,PCT017F047,PCT017F048,PCT017F049,PCT017F050,PCT017F051,PCT017F052,PCT017F053,PCT017F054,PCT017F055,PCT017F056,PCT017F057,PCT017F058,PCT017F059,PCT017F060,PCT017F061,PCT017F062,PCT017F063,PCT017F064,PCT017F065,PCT017F066,PCT017F067,PCT017F068,PCT017F069,PCT017F070,PCT017F071,PCT017F072,PCT017F073,PCT017F074,PCT017F075,PCT017G001,PCT017G002,PCT017G003,PCT017G004,PCT017G005,PCT017G006,PCT017G007,PCT017G008,PCT017G009,PCT017G010,PCT017G011,PCT017G012,PCT017G013,PCT017G014,PCT017G015,PCT017G016,PCT017G017,PCT017G018,PCT017G019,PCT017G020,PCT017G021,PCT017G022,PCT017G023,PCT017G024,PCT017G025,PCT017G026,PCT017G027,PCT017G028,PCT017G029,PCT017G030,PCT017G031,PCT017G032,PCT017G033,PCT017G034,PCT017G035,PCT017G036,PCT017G037,PCT017G038,PCT017G039,PCT017G040,PCT017G041,PCT017G042,PCT017G043,PCT017G044,PCT017G045,PCT017G046,PCT017G047,PCT017G048,PCT017G049,PCT017G050,PCT017G051,PCT017G052,PCT017G053,PCT017G054,PCT017G055,PCT017G056,PCT017G057,PCT017G058,PCT017G059,PCT017G060,PCT017G061,PCT017G062,PCT017G063,PCT017G064,PCT017G065,PCT017G066,PCT017G067,PCT017G068,PCT017G069,PCT017G070,PCT017G071,PCT017G072,PCT017G073,PCT017G074,PCT017G075,PCT017H001,PCT017H002,PCT017H003,PCT017H004,PCT017H005,PCT017H006,PCT017H007,PCT017H008,PCT017H009,PCT017H010,PCT017H011,PCT017H012,PCT017H013,PCT017H014,PCT017H015,PCT017H016,PCT017H017,PCT017H018,PCT017H019,PCT017H020,PCT017H021,PCT017H022,PCT017H023,PCT017H024,PCT017H025,PCT017H026,PCT017H027,PCT017H028,PCT017H029,PCT017H030,PCT017H031,PCT017H032,PCT017H033,PCT017H034,PCT017H035,PCT017H036,PCT017H037,PCT017H038,PCT017H039,PCT017H040,PCT017H041,PCT017H042,PCT017H043,PCT017H044,PCT017H045,PCT017H046,PCT017H047,PCT017H048,PCT017H049,PCT017H050,PCT017H051,PCT017H052,PCT017H053,PCT017H054,PCT017H055,PCT017H056,PCT017H057,PCT017H058,PCT017H059,PCT017H060,PCT017H061,PCT017H062,PCT017H063,PCT017H064,PCT017H065,PCT017H066,PCT017H067,PCT017H068,PCT017H069,PCT017H070,PCT017H071,PCT017H072,PCT017H073,PCT017H074,PCT017H075
uSF1,TX,000,36,602162,389,269,24,11,4,0,0,0,7,0,13,2,0,11,234,107,101,5,0,0,0,1,127,60,1,66,11,8,1,7,0,0,0,0,3,0,0,3,120,7,3,1,0,0,0,2,0,4,0,0,4,101,15,8,3,0,0,0,4,86,58,0,28,12,11,0,10,0,0,0,1,1,0,0,1,414,230,13,5,1,0,0,0,4,0,8,0,0,8,197,104,90,13,0,0,0,1,93,33,18,42,20,19,0,16,0,0,0,3,1,0,0,1,184,17,6,3,0,0,0,3,0,11,0,0,11,104,27,12,9,0,0,5,1,77,52,1,24,63,62,0,60,0,1,0,1,1,0,0,1,2883,1885,77,45,26,0,0,0,19,0,32,3,0,29,1717,1359,1312,37,1,0,2,7,358,148,33,177,91,85,25,54,1,0,0,5,6,0,0,6,998,30,10,5,0,0,0,5,0,20,0,1,19,817,604,563,28,1,1,5,6,213,140,5,68,151,139,12,123,1,1,0,2,12,0,0,12
uSF1,TX,000,36,602163,137,108,9,4,4,0,0,0,0,0,5,2,0,3,95,74,73,0,0,0,0,1,21,15,0,6,4,4,1,3,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,2,0,0,2,26,4,4,0,0,0,0,0,22,13,0,9,1,1,0,1,0,0,0,0,0,0,0,0,81,57,5,1,1,0,0,0,0,0,4,0,0,4,52,39,39,0,0,0,0,0,13,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,4,0,0,4,19,3,3,0,0,0,0,0,16,11,0,5,1,1,0,1,0,0,0,0,0,0,0,0,301,215,21,5,5,0,0,0,0,0,16,3,0,13,186,119,116,2,0,0,0,1,67,50,0,17,8,8,1,6,1,0,0,0,0,0,0,0,86,6,0,0,0,0,0,0,0,6,0,0,6,64,11,8,3,0,0,0,0,53,33,0,20,16,13,0,13,0,0,0,0,3,0,0,3
uSF1,TX,000,36,607260,234,155,15,7,0,0,0,0,7,0,8,0,0,8,133,28,23,5,0,0,0,0,105,45,1,59,7,4,0,4,0,0,0,0,3,0,0,3,79,5,3,1,0,0,0,2,0,2,0,0,2,68,7,1,2,0,0,0,4,61,45,0,16,6,5,0,4,0,0,0,1,1,0,0,1,319,167,8,4,0,0,0,0,4,0,4,0,0,4,139,59,45,13,0,0,0,1,80,24,18,38,20,19,0,16,0,0,0,3,1,0,0,1,152,13,6,3,0,0,0,3,0,7,0,0,7,82,23,8,9,0,0,5,1,59,41,1,17,57,56,0,54,0,1,0,1,1,0,0,1,2521,1639,55,39,20,0,0,0,19,0,16,0,0,16,1509,1220,1176,35,1,0,2,6,289,98,33,158,75,69,23,41,0,0,0,5,6,0,0,6,882,24,10,5,0,0,0,5,0,14,0,1,13,739,584,548,23,1,1,5,6,155,107,5,43,119,112,12,96,1,1,0,2,7,0,0,7
uSF1,TX,000,36,621345,18,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,1,0,0,0,0,3,0,0,3,5,5,0,5,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,2,0,0,2,5,5,0,5,0,0,0,0,0,0,0,0,61,31,1,1,1,0,0,0,0,0,0,0,0,0,22,20,20,0,0,0,0,0,2,0,0,2,8,8,1,7,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,14,9,7,2,0,0,0,0,5,0,0,5,16,14,0,14,0,0,0,0,2,0,0,2
uSF1,TX,000,36,627593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,18,18,0,18,0,0,0,0,0,0,0,0,32,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,19,19,0,19,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
