FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT012E001,PCT012E002,PCT012E003,PCT012E004,PCT012E005,PCT012E006,PCT012E007,PCT012E008,PCT012E009,PCT012E010,PCT012E011,PCT012E012,PCT012E013,PCT012E014,PCT012E015,PCT012E016,PCT012E017,PCT012E018,PCT012E019,PCT012E020,PCT012E021,PCT012E022,PCT012E023,PCT012E024,PCT012E025,PCT012E026,PCT012E027,PCT012E028,PCT012E029,PCT012E030,PCT012E031,PCT012E032,PCT012E033,PCT012E034,PCT012E035,PCT012E036,PCT012E037,PCT012E038,PCT012E039,PCT012E040,PCT012E041,PCT012E042,PCT012E043,PCT012E044,PCT012E045,PCT012E046,PCT012E047,PCT012E048,PCT012E049,PCT012E050,PCT012E051,PCT012E052,PCT012E053,PCT012E054,PCT012E055,PCT012E056,PCT012E057,PCT012E058,PCT012E059,PCT012E060,PCT012E061,PCT012E062,PCT012E063,PCT012E064,PCT012E065,PCT012E066,PCT012E067,PCT012E068,PCT012E069,PCT012E070,PCT012E071,PCT012E072,PCT012E073,PCT012E074,PCT012E075,PCT012E076,PCT012E077,PCT012E078,PCT012E079,PCT012E080,PCT012E081,PCT012E082,PCT012E083,PCT012E084,PCT012E085,PCT012E086,PCT012E087,PCT012E088,PCT012E089,PCT012E090,PCT012E091,PCT012E092,PCT012E093,PCT012E094,PCT012E095,PCT012E096,PCT012E097,PCT012E098,PCT012E099,PCT012E100,PCT012E101,PCT012E102,PCT012E103,PCT012E104,PCT012E105,PCT012E106,PCT012E107,PCT012E108,PCT012E109,PCT012E110,PCT012E111,PCT012E112,PCT012E113,PCT012E114,PCT012E115,PCT012E116,PCT012E117,PCT012E118,PCT012E119,PCT012E120,PCT012E121,PCT012E122,PCT012E123,PCT012E124,PCT012E125,PCT012E126,PCT012E127,PCT012E128,PCT012E129,PCT012E130,PCT012E131,PCT012E132,PCT012E133,PCT012E134,PCT012E135,PCT012E136,PCT012E137,PCT012E138,PCT012E139,PCT012E140,PCT012E141,PCT012E142,PCT012E143,PCT012E144,PCT012E145,PCT012E146,PCT012E147,PCT012E148,PCT012E149,PCT012E150,PCT012E151,PCT012E152,PCT012E153,PCT012E154,PCT012E155,PCT012E156,PCT012E157,PCT012E158,PCT012E159,PCT012E160,PCT012E161,PCT012E162,PCT012E163,PCT012E164,PCT012E165,PCT012E166,PCT012E167,PCT012E168,PCT012E169,PCT012E170,PCT012E171,PCT012E172,PCT012E173,PCT012E174,PCT012E175,PCT012E176,PCT012E177,PCT012E178,PCT012E179,PCT012E180,PCT012E181,PCT012E182,PCT012E183,PCT012E184,PCT012E185,PCT012E186,PCT012E187,PCT012E188,PCT012E189,PCT012E190,PCT012E191,PCT012E192,PCT012E193,PCT012E194,PCT012E195,PCT012E196,PCT012E197,PCT012E198,PCT012E199,PCT012E200,PCT012E201,PCT012E202,PCT012E203,PCT012E204,PCT012E205,PCT012E206,PCT012E207,PCT012E208,PCT012E209
uSF1,TX,000,36,602162,2252,1141,22,23,26,19,26,32,28,27,29,38,28,20,28,25,26,22,24,22,19,26,18,22,12,22,18,19,11,13,21,13,16,20,12,21,19,24,21,14,26,19,21,10,19,15,13,12,12,12,12,14,13,12,13,8,8,6,6,6,7,4,5,3,3,8,1,1,0,4,4,2,3,2,3,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1111,20,27,15,32,32,22,25,18,28,26,33,28,26,20,23,31,22,14,26,17,23,24,10,16,14,20,20,19,16,20,20,12,27,24,25,25,16,13,17,13,13,17,20,18,10,15,15,13,14,5,12,11,11,8,7,5,3,3,4,9,2,3,2,4,3,2,4,5,0,0,2,0,1,1,1,0,1,1,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,602163,506,248,7,6,5,4,0,7,4,1,9,13,5,4,3,4,1,2,5,6,4,7,5,8,4,7,7,7,5,2,6,1,3,2,4,4,8,8,7,1,7,9,6,2,3,2,1,1,2,5,2,4,0,1,2,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,258,6,6,6,8,5,8,4,3,5,1,8,2,5,4,6,3,4,2,7,2,5,9,2,8,3,9,4,5,9,6,5,2,9,7,6,5,5,3,4,2,4,3,5,1,1,5,1,3,3,2,2,3,2,2,0,1,2,2,2,4,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,607260,392,204,2,6,3,5,6,2,4,10,5,4,2,2,3,2,2,8,5,1,3,6,4,8,5,5,4,3,1,5,5,4,5,3,2,3,3,4,1,3,4,2,8,0,1,1,2,1,2,0,4,1,4,3,2,1,2,3,0,0,2,0,2,0,0,1,0,0,0,1,2,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,4,3,2,4,4,0,6,3,4,4,5,3,5,1,4,4,2,4,4,4,2,7,1,3,5,2,4,3,1,4,4,1,4,5,5,2,3,3,5,2,3,2,3,4,2,1,3,2,3,0,4,2,2,2,1,1,1,0,1,2,0,1,1,1,1,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,621345,1354,689,13,11,18,10,20,23,20,16,15,21,21,14,22,19,23,12,14,15,12,13,9,6,3,10,7,9,5,6,10,8,8,15,6,14,8,12,13,10,15,8,7,8,15,12,10,10,8,7,6,9,9,8,9,6,5,3,5,6,4,3,2,2,3,6,0,1,0,3,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,10,18,7,20,23,14,15,12,19,21,20,23,16,15,13,24,16,8,15,11,16,8,7,5,6,9,12,11,6,10,11,9,14,12,14,18,8,7,8,9,6,12,12,13,7,9,11,8,8,3,6,6,7,4,6,3,0,1,1,3,1,1,1,3,2,2,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627593,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,7,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
