FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT012B001,PCT012B002,PCT012B003,PCT012B004,PCT012B005,PCT012B006,PCT012B007,PCT012B008,PCT012B009,PCT012B010,PCT012B011,PCT012B012,PCT012B013,PCT012B014,PCT012B015,PCT012B016,PCT012B017,PCT012B018,PCT012B019,PCT012B020,PCT012B021,PCT012B022,PCT012B023,PCT012B024,PCT012B025,PCT012B026,PCT012B027,PCT012B028,PCT012B029,PCT012B030,PCT012B031,PCT012B032,PCT012B033,PCT012B034,PCT012B035,PCT012B036,PCT012B037,PCT012B038,PCT012B039,PCT012B040,PCT012B041,PCT012B042,PCT012B043,PCT012B044,PCT012B045,PCT012B046,PCT012B047,PCT012B048,PCT012B049,PCT012B050,PCT012B051,PCT012B052,PCT012B053,PCT012B054,PCT012B055,PCT012B056,PCT012B057,PCT012B058,PCT012B059,PCT012B060,PCT012B061,PCT012B062,PCT012B063,PCT012B064,PCT012B065,PCT012B066,PCT012B067,PCT012B068,PCT012B069,PCT012B070,PCT012B071,PCT012B072,PCT012B073,PCT012B074,PCT012B075,PCT012B076,PCT012B077,PCT012B078,PCT012B079,PCT012B080,PCT012B081,PCT012B082,PCT012B083,PCT012B084,PCT012B085,PCT012B086,PCT012B087,PCT012B088,PCT012B089,PCT012B090,PCT012B091,PCT012B092,PCT012B093,PCT012B094,PCT012B095,PCT012B096,PCT012B097,PCT012B098,PCT012B099,PCT012B100,PCT012B101,PCT012B102,PCT012B103,PCT012B104,PCT012B105,PCT012B106,PCT012B107,PCT012B108,PCT012B109,PCT012B110,PCT012B111,PCT012B112,PCT012B113,PCT012B114,PCT012B115,PCT012B116,PCT012B117,PCT012B118,PCT012B119,PCT012B120,PCT012B121,PCT012B122,PCT012B123,PCT012B124,PCT012B125,PCT012B126,PCT012B127,PCT012B128,PCT012B129,PCT012B130,PCT012B131,PCT012B132,PCT012B133,PCT012B134,PCT012B135,PCT012B136,PCT012B137,PCT012B138,PCT012B139,PCT012B140,PCT012B141,PCT012B142,PCT012B143,PCT012B144,PCT012B145,PCT012B146,PCT012B147,PCT012B148,PCT012B149,PCT012B150,PCT012B151,PCT012B152,PCT012B153,PCT012B154,PCT012B155,PCT012B156,PCT012B157,PCT012B158,PCT012B159,PCT012B160,PCT012B161,PCT012B162,PCT012B163,PCT012B164,PCT012B165,PCT012B166,PCT012B167,PCT012B168,PCT012B169,PCT012B170,PCT012B171,PCT012B172,PCT012B173,PCT012B174,PCT012B175,PCT012B176,PCT012B177,PCT012B178,PCT012B179,PCT012B180,PCT012B181,PCT012B182,PCT012B183,PCT012B184,PCT012B185,PCT012B186,PCT012B187,PCT012B188,PCT012B189,PCT012B190,PCT012B191,PCT012B192,PCT012B193,PCT012B194,PCT012B195,PCT012B196,PCT012B197,PCT012B198,PCT012B199,PCT012B200,PCT012B201,PCT012B202,PCT012B203,PCT012B204,PCT012B205,PCT012B206,PCT012B207,PCT012B208,PCT012B209
uSF1,TX,000,36,610794,1798,810,21,16,20,15,13,25,22,25,24,15,22,22,18,16,18,10,16,21,6,14,18,15,9,6,13,8,5,6,11,16,16,16,19,13,9,16,15,18,10,8,11,8,16,8,13,10,9,14,6,8,7,2,4,10,10,9,5,4,4,7,3,9,4,3,2,2,2,0,3,1,0,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,988,25,13,20,19,20,12,20,19,18,22,18,16,20,16,12,16,15,21,11,13,15,9,16,10,15,9,14,11,24,20,11,11,14,16,19,18,12,19,13,17,15,19,16,24,17,18,18,15,9,18,17,5,9,12,7,9,10,8,6,3,13,6,6,6,3,3,1,3,2,1,5,3,3,4,4,2,2,1,0,1,1,1,1,2,1,3,5,4,2,0,1,0,1,0,0,0,2,1,0,0,0,0,0
uSF1,TX,000,36,610861,687,325,6,7,5,8,8,7,3,7,8,6,7,7,3,8,7,12,11,9,8,7,2,3,2,4,3,9,2,3,4,5,3,5,3,5,6,4,7,8,4,1,1,5,8,1,3,5,1,7,1,3,1,2,8,0,4,1,2,1,4,0,1,3,3,2,1,2,4,2,1,0,1,1,1,2,1,5,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,362,4,4,4,3,6,6,5,4,13,4,10,5,10,4,5,3,8,10,1,4,4,4,5,5,7,3,9,2,4,2,7,6,5,4,12,11,7,5,5,11,4,0,10,7,4,4,5,3,7,2,5,4,2,4,3,5,3,2,0,1,1,1,6,0,3,2,5,1,2,4,1,3,0,0,2,2,0,1,3,1,1,3,0,2,0,1,0,0,3,0,0,0,3,1,0,1,3,0,0,0,0,0,0
uSF1,TX,000,36,610951,482,232,2,2,4,4,3,4,1,3,3,4,0,2,2,3,2,5,6,6,6,0,0,2,2,2,3,4,3,4,3,1,4,2,4,0,6,6,4,3,3,2,9,1,6,3,6,8,3,6,3,2,2,2,4,2,1,1,2,2,3,3,3,0,2,1,0,4,1,0,0,1,0,1,6,2,4,2,5,1,4,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,250,2,2,0,2,4,2,1,3,3,4,4,2,4,4,5,5,3,8,1,0,3,5,1,2,1,4,3,2,0,3,3,2,6,3,4,4,6,5,2,4,2,1,4,2,3,3,5,2,4,3,4,7,3,4,3,2,4,3,3,2,2,1,1,3,2,4,6,4,1,5,4,4,4,1,3,2,3,1,2,2,2,1,0,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,611035,1579,743,41,20,35,27,23,25,14,16,26,17,13,13,8,11,9,14,11,14,11,8,5,7,3,5,7,10,6,9,10,5,12,9,3,8,9,6,12,20,11,9,12,5,14,9,5,13,11,7,8,8,11,7,2,4,3,8,3,3,5,2,5,4,2,5,2,7,3,2,6,2,3,3,0,3,3,5,4,2,3,0,0,2,6,2,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,836,31,29,30,20,19,22,22,19,19,15,15,8,17,15,11,13,11,6,13,16,20,16,18,18,19,16,10,10,9,7,11,7,8,10,11,13,10,14,6,5,12,8,9,7,10,14,6,6,7,4,5,7,4,6,6,5,6,7,1,9,4,6,7,1,2,4,2,4,2,3,4,3,4,6,11,2,6,2,5,4,3,4,4,2,0,1,1,2,1,0,2,1,0,2,2,0,1,0,0,0,0,0,0
uSF1,TX,000,36,611150,172,85,0,0,3,1,0,1,2,1,2,2,0,0,3,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,2,0,0,0,0,0,2,2,3,0,2,2,3,3,0,2,0,1,4,2,2,4,3,3,1,0,1,2,1,1,1,0,0,1,2,0,1,2,0,1,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,3,0,1,3,0,1,2,1,0,0,2,0,2,1,2,0,1,1,2,2,3,0,3,0,1,2,0,2,2,3,4,1,2,2,2,2,2,0,1,1,3,1,2,2,1,1,0,2,0,0,0,2,1,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,611339,47,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,2,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,611472,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,611583,339,140,4,3,4,5,6,8,1,8,5,5,3,3,4,6,3,2,4,2,0,0,1,2,1,2,0,2,1,5,1,1,1,0,0,1,1,2,6,1,3,4,0,4,1,0,2,0,0,1,2,2,1,0,3,2,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,4,4,7,3,5,5,5,3,3,3,4,3,2,2,7,1,4,4,0,3,4,4,3,3,6,3,2,5,2,6,4,5,2,1,3,4,1,5,3,0,4,2,0,1,5,1,4,3,0,1,1,0,1,1,1,0,0,4,0,1,2,1,1,2,0,0,2,4,0,1,2,2,1,2,0,1,1,0,0,1,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,611695,87,35,1,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,3,0,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,2,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,1,0,1,1,1,0,0,1,0,0,0,1,4,1,1,3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3,0,1,0,1,0,3,3,1,0,1,0,1,1,0,0,1,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,611754,63,32,0,1,1,0,1,3,0,1,1,0,3,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,1,0,0,3,0,1,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,2,0,1,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
