FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT010001,PCT010002,PCT010003,PCT010004,PCT010005,PCT010006,PCT010007,PCT010008,PCT010009,PCT010010,PCT010011,PCT010012,PCT010013,PCT010014,PCT011001,PCT011002,PCT011003,PCT011004,PCT011005,PCT011006,PCT011007,PCT011008,PCT011009,PCT011010,PCT011011,PCT011012,PCT011013,PCT011014,PCT011015,PCT011016,PCT011017,PCT011018,PCT011019,PCT011020,PCT011021,PCT011022,PCT011023,PCT011024,PCT011025,PCT011026,PCT011027,PCT011028,PCT011029,PCT011030,PCT011031
uSF1,TX,000,36,605594,32,6,4,0,1,1,20,10,10,0,0,0,0,6,6416,5132,1284,1082,24,5,2,36,2,0,5,7,5,15,2,34,4,0,2,20,0,0,5,0,3,0,101,1,12,0,88
uSF1,TX,000,36,605670,8,2,2,0,0,0,0,0,0,0,0,0,0,6,3815,3503,312,214,5,6,0,12,0,1,2,1,2,6,0,9,1,0,0,4,2,0,0,0,0,2,66,0,13,1,52
uSF1,TX,000,36,605726,2,0,0,0,0,0,1,1,0,0,0,0,0,1,3962,3708,254,174,9,3,0,13,7,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,54,0,5,0,49
uSF1,TX,000,36,605786,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5848,4769,1079,901,25,3,0,22,0,0,3,5,4,10,0,13,0,0,0,7,3,0,3,0,0,0,115,0,13,1,101
uSF1,TX,000,36,605853,37,23,4,10,9,0,11,6,5,0,0,0,0,3,8659,5637,3022,2525,42,10,0,102,10,28,15,2,3,40,4,14,0,0,0,6,1,0,6,0,1,0,329,0,15,0,314
uSF1,TX,000,36,605920,42,40,9,13,18,0,1,1,0,0,0,0,0,1,7218,4491,2727,2256,44,4,0,76,0,20,0,0,1,44,11,13,1,0,1,5,6,0,0,0,0,0,334,4,25,1,304
uSF1,TX,000,36,607261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,607262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,727417,835,456,208,157,79,12,150,117,33,4,1,3,18,207,332969,272152,60817,46766,2081,339,87,1495,95,218,166,75,122,755,64,901,58,33,38,396,72,2,174,12,85,31,9148,90,759,40,8259
uSF1,TX,000,36,727418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,727419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,112,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,5
uSF1,TX,000,36,727420,14,7,6,1,0,0,3,2,1,0,0,0,0,4,6027,5595,432,279,48,12,1,7,0,0,3,0,0,1,3,17,0,0,1,10,0,0,5,0,1,0,68,1,10,0,57
uSF1,TX,000,36,727421,12,4,3,0,1,0,2,2,0,0,0,0,0,6,6172,5693,479,343,26,3,1,2,0,1,1,0,0,0,0,5,0,0,0,0,3,0,2,0,0,0,99,0,11,0,88
uSF1,TX,000,36,727422,10,5,3,0,2,0,5,5,0,0,0,0,0,0,3447,3052,395,258,10,7,4,11,0,3,0,0,8,0,0,9,0,0,0,4,1,0,1,0,3,0,96,0,13,0,83
uSF1,TX,000,36,727423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,727424,4,4,2,2,0,0,0,0,0,0,0,0,0,0,4013,3782,231,170,10,0,0,0,0,0,0,0,0,0,0,9,2,1,0,2,2,0,1,0,1,0,42,1,7,1,33
uSF1,TX,000,36,727425,7,2,0,2,0,0,5,3,2,0,0,0,0,0,3554,3259,295,208,12,0,0,7,1,0,0,0,0,1,5,7,0,1,0,5,0,0,0,0,1,0,61,1,10,3,47
uSF1,TX,000,36,727426,12,4,4,0,0,0,0,0,0,0,0,0,0,8,3872,3449,423,246,51,3,1,13,0,0,1,4,2,6,0,19,1,1,0,10,0,0,5,1,1,0,90,0,9,0,81
uSF1,TX,000,36,727427,6,4,4,0,0,0,2,2,0,0,0,0,0,0,6771,5694,1077,721,83,8,1,33,0,3,1,2,0,26,1,16,1,1,0,7,0,0,6,0,1,0,215,1,14,0,200
uSF1,TX,000,36,727428,33,27,18,1,8,0,5,5,0,0,0,0,0,1,6455,5672,783,521,56,8,1,17,4,5,1,0,3,4,0,34,2,5,3,9,0,0,12,0,3,0,146,1,10,1,134
uSF1,TX,000,36,727429,9,5,5,0,0,0,2,2,0,0,0,0,0,2,5950,5019,931,582,68,22,2,24,2,11,3,0,2,6,0,29,1,5,2,14,7,0,0,0,0,0,204,1,7,0,196
uSF1,TX,000,36,727430,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3633,3037,596,412,39,3,0,4,1,1,0,0,0,2,0,4,0,0,0,2,0,0,1,0,0,1,134,7,14,0,113
uSF1,TX,000,36,727431,28,23,10,7,6,0,3,2,1,0,0,0,0,2,7413,5977,1436,1075,77,9,5,27,0,12,0,2,0,9,4,7,0,0,0,3,1,0,0,0,2,1,236,1,8,1,226
uSF1,TX,000,36,727432,52,44,11,21,7,5,0,0,0,0,0,0,0,8,7308,5652,1656,1320,25,4,2,70,0,13,4,0,6,47,0,12,1,0,0,3,0,0,6,0,2,0,223,0,17,1,205
uSF1,TX,000,36,727433,21,14,8,2,0,4,3,3,0,0,0,0,0,4,7042,5686,1356,925,63,13,1,43,7,8,4,1,6,17,0,25,3,0,0,9,1,0,10,2,0,0,286,0,17,5,264
uSF1,TX,000,36,727434,22,11,1,10,0,0,1,0,1,0,0,0,0,10,7408,6150,1258,923,62,11,2,26,0,0,2,1,4,19,0,35,6,0,0,12,0,0,6,0,7,4,199,6,21,0,172
uSF1,TX,000,36,727435,12,4,4,0,0,0,8,8,0,0,0,0,0,0,6079,4771,1308,1021,40,2,1,31,0,8,2,0,0,21,0,17,0,0,4,7,0,0,6,0,0,0,196,1,11,4,180
uSF1,TX,000,36,727436,4,1,1,0,0,0,3,3,0,0,0,0,0,0,4282,3834,448,347,16,0,0,3,2,0,0,1,0,0,0,8,0,0,0,3,0,0,0,0,5,0,74,2,7,0,65
uSF1,TX,000,36,727437,8,6,6,0,0,0,0,0,0,0,0,0,0,2,7402,6868,534,378,31,6,0,4,0,1,0,3,0,0,0,23,1,3,0,9,0,0,2,0,2,6,92,1,7,0,84
uSF1,TX,000,36,727438,6,0,0,0,0,0,3,1,2,0,0,0,0,3,3953,3746,207,146,8,11,2,6,1,0,0,4,0,1,0,8,0,0,1,0,0,0,0,0,7,0,26,6,3,0,17
uSF1,TX,000,36,727439,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6361,6073,288,202,15,3,0,8,3,2,2,0,1,0,0,7,0,1,1,1,0,0,3,0,1,0,53,3,6,0,44
uSF1,TX,000,36,727440,5,4,3,1,0,0,1,1,0,0,0,0,0,0,4761,4469,292,210,18,2,3,3,1,0,0,0,1,1,0,11,0,0,0,8,1,0,1,0,1,0,45,0,9,0,36
uSF1,TX,000,36,727441,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5838,5418,420,264,30,4,0,6,1,1,0,0,1,0,3,14,0,0,0,6,1,0,7,0,0,0,102,0,6,0,96
uSF1,TX,000,36,727442,8,2,1,1,0,0,4,4,0,0,0,0,0,2,5398,4966,432,285,23,3,0,12,4,0,2,1,3,2,0,7,1,1,0,3,1,0,0,1,0,0,102,0,7,1,94
uSF1,TX,000,36,727443,3,1,1,0,0,0,0,0,0,0,0,0,0,2,5858,5429,429,322,12,3,0,10,7,1,0,1,0,1,0,8,0,0,2,2,0,1,3,0,0,0,74,3,9,1,61
uSF1,TX,000,36,727444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,295,87,66,0,0,0,5,0,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,0,15
uSF1,TX,000,36,727445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,727446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,727447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,727448,9,3,2,1,0,0,3,3,0,0,0,0,0,3,5295,4465,830,522,93,16,1,22,0,2,2,3,6,9,0,18,0,0,5,12,0,0,0,0,1,0,158,2,15,0,141
uSF1,TX,000,36,727449,7,0,0,0,0,0,1,1,0,0,0,0,0,6,4087,3526,561,317,55,3,7,16,0,4,0,2,8,1,1,12,2,0,0,10,0,0,0,0,0,0,151,0,17,0,134
uSF1,TX,000,36,727450,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3981,3466,515,305,37,8,0,17,3,1,0,0,9,4,0,4,0,0,0,3,0,0,0,0,1,0,144,0,13,3,128
uSF1,TX,000,36,727451,3,1,1,0,0,0,0,0,0,0,0,0,0,2,3257,2892,365,229,31,4,3,5,0,0,3,0,0,0,2,10,0,0,0,1,7,0,1,1,0,0,83,2,11,0,70
uSF1,TX,000,36,727452,8,2,2,0,0,0,4,3,1,0,0,0,2,0,6958,6114,844,535,79,7,0,25,1,8,3,0,6,7,0,26,0,0,1,14,0,0,6,2,1,2,172,0,21,2,149
uSF1,TX,000,36,727453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,486,54,16,1,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,9,0,0,0,25,1,2,0,22
uSF1,TX,000,36,727454,14,2,2,0,0,0,5,4,1,0,0,0,0,7,6478,6041,437,311,19,0,1,5,0,0,1,1,1,2,0,16,1,0,1,5,2,1,2,0,1,3,85,1,6,0,78
uSF1,TX,000,36,727455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,727456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,727457,5,5,3,2,0,0,0,0,0,0,0,0,0,0,3920,3545,375,237,17,1,3,11,3,0,0,2,6,0,0,16,5,0,2,6,2,0,1,0,0,0,90,2,14,0,74
uSF1,TX,000,36,727458,11,5,1,1,3,0,0,0,0,0,0,0,0,6,4909,4503,406,268,24,1,2,6,0,0,0,0,2,4,0,19,1,0,0,11,1,0,6,0,0,0,86,0,14,1,71
uSF1,TX,000,36,727459,10,5,5,0,0,0,0,0,0,0,0,0,0,5,7280,6209,1071,763,78,9,0,38,2,1,8,0,5,21,1,37,1,0,6,14,5,0,3,2,6,0,146,3,9,0,134
uSF1,TX,000,36,727460,5,4,0,0,4,0,0,0,0,0,0,0,0,1,3937,3490,447,317,27,6,0,14,1,3,5,3,1,1,0,14,0,0,0,5,0,0,6,0,3,0,69,0,11,0,58
uSF1,TX,000,36,727461,7,7,7,0,0,0,0,0,0,0,0,0,0,0,2464,2373,91,54,5,0,0,5,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,26,0,6,0,20
